Date, Open, High, Low, Close
10/31/23, 33029.11, 33070.28, 32787.12, 33052.87
10/30/23, 32537.54, 33002.97, 32537.54, 32928.96
10/27/23, 32782.40, 32787.56, 32327.20, 32417.59
10/26/23, 33017.17, 33105.03, 32743.99, 32784.30
10/25/23, 33203.53, 33267.91, 32989.72, 33035.93
10/24/23, 33089.64, 33272.19, 32988.43, 33141.38
10/23/23, 32993.02, 33234.85, 32892.19, 32936.41
10/20/23, 33365.27, 33425.77, 33118.12, 33127.28
10/19/23, 33669.52, 33852.39, 33368.58, 33414.17
10/18/23, 33960.25, 33991.51, 33598.64, 33665.08
10/17/23, 33869.84, 34147.63, 33854.70, 33997.65
10/16/23, 33832.42, 34088.98, 33832.42, 33984.54
10/13/23, 33733.34, 33957.72, 33551.58, 33670.29
10/12/23, 33845.65, 33863.80, 33455.60, 33631.14
10/11/23, 33822.20, 33882.55, 33612.25, 33804.87
10/10/23, 33683.41, 33898.22, 33604.32, 33739.30
10/09/23, 33259.84, 33631.81, 33253.69, 33604.65
10/06/23, 33040.70, 33557.69, 32846.94, 33407.58
10/05/23, 33099.23, 33174.38, 32941.56, 33119.57
10/04/23, 33034.18, 33156.45, 32873.23, 33129.55
10/03/23, 33318.84, 33398.54, 32916.20, 33002.38
10/02/23, 33455.50, 33511.91, 33219.56, 33433.35
09/29/23, 33882.61, 33893.68, 33407.45, 33507.50
09/28/23, 33519.44, 33777.90, 33473.50, 33666.34
09/27/23, 33682.81, 33731.65, 33306.30, 33550.27
09/26/23, 33862.68, 33879.93, 33569.60, 33618.88
09/25/23, 33907.59, 34017.53, 33780.67, 34006.88
09/22/23, 34077.08, 34156.15, 33947.24, 33963.84
09/21/23, 34332.23, 34378.30, 34058.72, 34070.42
09/20/23, 34575.50, 34776.28, 34434.29, 34440.88
09/19/23, 34571.84, 34597.56, 34311.69, 34517.73
09/18/23, 34612.29, 34725.06, 34545.35, 34624.30
09/15/23, 34902.04, 34902.04, 34572.27, 34618.24
09/14/23, 34687.50, 34977.97, 34687.50, 34907.11
09/13/23, 34667.28, 34767.11, 34509.95, 34575.53
09/12/23, 34620.02, 34852.61, 34560.55, 34645.99
09/11/23, 34650.01, 34784.52, 34578.59, 34663.72
09/08/23, 34487.41, 34627.85, 34473.57, 34576.59
09/07/23, 34351.18, 34560.86, 34351.18, 34500.73
09/06/23, 34611.68, 34611.68, 34291.56, 34443.19
09/05/23, 34843.22, 34871.26, 34635.63, 34641.97
09/01/23, 34876.24, 34979.18, 34720.70, 34837.71
08/31/23, 34909.09, 35070.21, 34719.77, 34721.91
08/30/23, 34847.80, 35025.57, 34811.74, 34890.24
08/29/23, 34531.12, 34864.42, 34531.12, 34852.67
08/28/23, 34441.64, 34652.91, 34441.64, 34559.98
08/25/23, 34217.06, 34441.91, 34029.22, 34346.90
08/24/23, 34439.83, 34694.68, 34093.65, 34099.42
08/23/23, 34338.59, 34534.72, 34321.00, 34472.98
08/22/23, 34494.17, 34514.04, 34256.84, 34288.83
08/21/23, 34531.28, 34570.96, 34248.46, 34463.69
08/18/23, 34368.36, 34587.07, 34263.19, 34500.66
08/17/23, 34829.61, 34888.48, 34440.73, 34474.83
08/16/23, 34914.96, 35133.56, 34757.37, 34765.74
08/15/23, 35219.37, 35219.37, 34908.50, 34946.39
08/14/23, 35273.89, 35335.45, 35169.97, 35307.63
08/11/23, 35111.36, 35354.60, 35059.99, 35281.40
08/10/23, 35231.54, 35578.58, 35107.60, 35176.15
08/09/23, 35324.28, 35370.89, 35058.73, 35123.36
08/08/23, 35345.40, 35346.64, 35007.41, 35314.49
08/07/23, 35125.60, 35497.38, 35125.60, 35473.13
08/04/23, 35230.13, 35506.88, 35033.76, 35065.62
08/03/23, 35194.56, 35348.20, 35122.32, 35215.89
08/02/23, 35551.92, 35551.92, 35226.26, 35282.52
08/01/23, 35585.99, 35679.13, 35526.61, 35630.68
07/31/23, 35465.97, 35566.95, 35430.22, 35559.53
07/28/23, 35443.49, 35565.51, 35355.15, 35459.29
07/27/23, 35558.79, 35645.35, 35216.58, 35282.72
07/26/23, 35345.99, 35633.61, 35306.27, 35520.12
07/25/23, 35421.49, 35527.57, 35365.26, 35438.07
07/24/23, 35230.79, 35463.97, 35230.79, 35411.24
07/21/23, 35274.32, 35340.66, 35186.05, 35227.69
07/20/23, 35091.98, 35372.77, 35091.98, 35225.18
07/19/23, 34991.21, 35234.05, 34991.21, 35061.21
07/18/23, 34597.08, 34986.36, 34530.61, 34951.93
07/17/23, 34499.74, 34665.15, 34418.72, 34585.35
07/14/23, 34425.33, 34592.26, 34425.33, 34509.03
07/13/23, 34412.31, 34482.26, 34365.33, 34395.14
07/12/23, 34395.28, 34586.94, 34308.78, 34347.43
07/11/23, 34056.94, 34288.87, 33993.01, 34261.42
07/10/23, 33705.68, 33958.36, 33705.68, 33944.40
07/07/23, 33837.07, 34036.38, 33716.75, 33734.88
07/06/23, 34171.39, 34171.39, 33771.47, 33922.26
07/05/23, 34344.72, 34376.11, 34226.98, 34288.64
07/03/23, 34369.78, 34465.60, 34286.54, 34418.47
06/30/23, 34269.92, 34467.35, 34269.92, 34407.60
06/29/23, 33854.57, 34147.68, 33828.63, 34122.42
06/28/23, 33881.38, 33903.76, 33755.92, 33852.66
06/27/23, 33739.03, 33975.65, 33730.39, 33926.74
06/26/23, 33730.79, 33819.49, 33610.32, 33714.71
06/23/23, 33835.66, 33835.66, 33646.49, 33727.43
06/22/23, 33900.47, 34003.56, 33835.39, 33946.71
06/21/23, 33990.56, 34097.93, 33876.17, 33951.52
06/20/23, 34206.66, 34206.66, 33915.93, 34053.87
06/16/23, 34464.02, 34588.68, 34285.69, 34299.12
06/15/23, 33945.98, 34488.98, 33945.98, 34408.06
06/14/23, 34044.70, 34151.42, 33783.55, 33979.33
06/13/23, 34111.08, 34310.28, 34107.98, 34212.12
06/12/23, 33906.80, 34077.84, 33878.46, 34066.33
06/09/23, 33852.44, 33975.32, 33787.16, 33876.78
06/08/23, 33656.98, 33873.81, 33630.04, 33833.61
06/07/23, 33562.47, 33708.78, 33546.11, 33665.02
06/06/23, 33547.67, 33631.25, 33399.69, 33573.28
06/05/23, 33771.13, 33804.22, 33552.79, 33562.86
06/02/23, 33187.58, 33805.00, 33187.58, 33762.76
06/01/23, 32929.85, 33167.75, 32704.51, 33061.57
05/31/23, 32948.71, 32984.83, 32739.73, 32908.27
05/30/23, 33103.65, 33132.70, 32893.97, 33042.78
05/26/23, 32795.50, 33162.06, 32795.50, 33093.34
05/25/23, 32854.26, 32870.43, 32586.56, 32764.65
05/24/23, 33021.76, 33031.75, 32752.44, 32799.92
05/23/23, 33190.60, 33310.17, 33013.29, 33055.51
05/22/23, 33408.54, 33512.30, 33207.85, 33286.58
05/19/23, 33582.95, 33652.90, 33336.66, 33426.63
05/18/23, 33374.56, 33579.91, 33212.09, 33535.91
05/17/23, 33092.48, 33472.38, 33050.41, 33420.77
05/16/23, 33275.37, 33290.85, 33006.19, 33012.14
05/15/23, 33321.21, 33400.30, 33161.93, 33348.60
05/12/23, 33370.58, 33406.40, 33110.61, 33300.62
05/11/23, 33383.89, 33389.88, 33127.70, 33309.51
05/10/23, 33707.20, 33772.09, 33239.45, 33531.33
05/09/23, 33589.85, 33656.40, 33509.72, 33561.81
05/08/23, 33715.15, 33747.49, 33509.23, 33618.69
05/05/23, 33248.55, 33748.43, 33248.55, 33674.38
05/04/23, 33347.78, 33354.86, 32937.50, 33127.74
05/03/23, 33726.64, 33811.84, 33396.05, 33414.24
05/02/23, 34017.62, 34017.75, 33436.66, 33684.53
05/01/23, 34116.81, 34257.83, 34030.14, 34051.70
04/28/23, 33797.43, 34104.56, 33728.40, 34098.16
04/27/23, 33381.66, 33859.75, 33374.65, 33826.16
04/26/23, 33596.34, 33645.83, 33235.85, 33301.87
04/25/23, 33828.34, 33875.49, 33525.39, 33530.83
04/24/23, 33805.04, 33891.15, 33726.09, 33875.40
04/21/23, 33793.60, 33858.83, 33688.57, 33808.96
04/20/23, 33740.60, 33875.39, 33677.74, 33786.62
04/19/23, 33889.83, 33957.98, 33814.65, 33897.01
04/18/23, 33965.16, 34018.62, 33791.89, 33976.63
04/17/23, 33930.46, 33991.23, 33796.91, 33987.18
04/14/23, 33981.71, 34082.94, 33730.85, 33886.47
04/13/23, 33668.97, 34054.99, 33605.17, 34029.69
04/12/23, 33764.21, 33895.43, 33593.32, 33646.50
04/11/23, 33586.75, 33781.29, 33586.75, 33684.79
